"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-07-14,"101.STBI.135.30.1","101","STBI","135","30","1",1,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,162.273209182085,-0.0273411818971879,0.984,60,134,2394.74,0,0,2494.84,96.702,93.665,-0.00658964235863,1,-0.00658964235863,"%Air","sec",0.05,0.0010804,NA,37,30.122,1.019,-0.0732331707683299,-67.7833864941965,NA,"mgO2/hr/kg",67.7833864941965,0.0732331707683299,30.122,139
"2",2023-07-14,"101.STBI.135.30.1","101","STBI","135","30","1",3,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,197.768592965511,-0.0313743587994796,0.97,653,727,3195.06,800.32,13.3386666666667,3294.87,97.469,94.63,-0.0112270618808224,1,-0.0112270618808224,"%Air","sec",0.05,0.0010804,NA,37,29.945,1.019,-0.12511897476946,-115.808010708497,NA,"mgO2/hr/kg",115.808010708497,0.12511897476946,29.945,139
"3",2023-07-14,"101.STBI.135.30.1","101","STBI","135","30","1",4,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,180.79382150619,-0.0229009741514531,0.941,949,1023,3594.34,1199.6,19.9933333333333,3694.14,98.217,96.347,-0.00305518499304944,1,-0.00305518499304944,"%Air","sec",0.05,0.0010804,NA,37,30.103,1.019,-0.033963572696463,-31.436109493209,NA,"mgO2/hr/kg",31.436109493209,0.033963572696463,30.103,139
"4",2023-07-14,"101.STBI.135.30.1","101","STBI","135","30","1",5,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,185.596322493064,-0.0217082733484655,0.927,1246,1320,3994.75,1600.01,26.6668333333333,4094.73,98.675,96.085,-0.00216491699447361,1,-0.00216491699447361,"%Air","sec",0.05,0.0010804,NA,37,29.999,1.019,-0.0241061871754232,-22.3122798735868,NA,"mgO2/hr/kg",22.3122798735868,0.0241061871754232,29.999,139
"5",2023-07-14,"101.STBI.135.30.1","101","STBI","135","30","1",6,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,243.012315315312,-0.0327944499496081,0.985,1542,1616,4393.93,1999.19,33.3198333333333,4493.81,98.624,95.517,-0.0135524918608469,1,-0.0135524918608469,"%Air","sec",0.05,0.0010804,NA,37,30.087,1.019,-0.150696926604801,-139.482531104037,NA,"mgO2/hr/kg",139.482531104037,0.150696926604801,30.087,139
"6",2023-07-14,"101.STBI.135.30.1","101","STBI","135","30","1",7,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,199.41244688163,-0.0210823396335056,0.902,1839,1913,4794.37,2399.63,39.9938333333333,4894.19,98.275,95.611,-0.00214274638672826,1,-0.00214274638672826,"%Air","sec",0.05,0.0010804,NA,37,30.106,1.019,-0.0238191423962878,-22.0465960720916,NA,"mgO2/hr/kg",22.0465960720916,0.0238191423962878,30.106,139
"7",2023-07-14,"101.STBI.135.30.1","101","STBI","135","30","1",8,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,262.211172721498,-0.0315224865105922,0.977,2136,2211,5194.47,2799.73,46.6621666666667,5295.49,98.194,95.124,-0.0128854770958444,1,-0.0128854770958444,"%Air","sec",0.05,0.0010804,NA,37,30.279,1.019,-0.142848173803343,-132.217858018644,NA,"mgO2/hr/kg",132.217858018644,0.142848173803343,30.279,139
"8",2023-07-14,"101.STBI.135.30.1","101","STBI","135","30","1",9,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,239.523682695179,-0.0253299305991088,0.933,2433,2508,5594.63,3199.89,53.3315,5695.72,97.655,95.541,-0.00699512367165591,1,-0.00699512367165591,"%Air","sec",0.05,0.0010804,NA,37,30.309,1.019,-0.0775113034897356,-71.7431539149719,NA,"mgO2/hr/kg",71.7431539149719,0.0775113034897356,30.309,139
"9",2023-07-14,"101.STBI.135.30.1","101","STBI","135","30","1",10,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,270.42593637712,-0.0288758600748768,0.961,2729,2803,5993.65,3598.91,59.9818333333333,6093.46,97.299,94.831,-0.0108418850590883,1,-0.0108418850590883,"%Air","sec",0.05,0.0010804,NA,37,30.489,1.019,-0.11979781273295,-110.882832962746,NA,"mgO2/hr/kg",110.882832962746,0.11979781273295,30.489,139
"10",2023-07-14,"101.STBI.135.30.1","101","STBI","135","30","1",11,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,262.569710173862,-0.0257898828626187,0.967,3026,3101,6393.46,3998.72,66.6453333333333,6494.63,97.547,94.975,-0.00805833309986117,1,-0.00805833309986117,"%Air","sec",0.05,0.0010804,NA,37,30.566,1.019,-0.0889336135117479,-82.3154512326434,NA,"mgO2/hr/kg",82.3154512326434,0.0889336135117479,30.566,139
"11",2023-07-14,"101.STBI.135.30.1","101","STBI","135","30","1",12,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,271.065134018701,-0.0255269014780788,0.984,3324,3399,6794.68,4399.94,73.3323333333333,6895.7,97.563,94.771,-0.00809827158380007,1,-0.00809827158380007,"%Air","sec",0.05,0.0010804,NA,37,30.694,1.019,-0.0891957642389727,-82.5580935199673,NA,"mgO2/hr/kg",82.5580935199673,0.0891957642389727,30.694,139
